Títulos,Precios,M2,Planta,Baños,Habitaciones,Calefacción,AireAC,Ascensor,Enlace
Piso de 277 m² con ascensor en Barrio de Salamanca ,2.450.000 €,277 m²,2ª Planta,5 baños,5 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/164736530/d?from=list
Piso de 116 m² con terraza en Calle Armengot/ Carabanchel ,300.000 €,116 m²,4ª Planta,2 baños,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor/165265857/d?from=list
Piso de 177 m² con balcón en Barrio de Salamanca ,2.350.000 €,177 m²,2ª Planta,2 baños,2 habs.,Sin calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-trastero-ascensor/162897706/d?from=list
Ático de 243 m² con terraza en Chamberí ,1.750.000 €,243 m²,6ª Planta,5 baños,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero-ascensor/162793775/d?from=list
Piso de 25 m² con ascensor en Calle de Atocha/ Centro ,260.000 €,25 m²,Sin información,1 baño,1 hab.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor/165182266/d?from=list
Piso de 50 m² con calefacción en Calle de Alejandrina Morán/ Latina ,128.000 €,50 m²,Bajos,1 baño,2 habs.,Calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-amueblado/165248443/d?from=list
Piso de 91 m² con ascensor en Calle de Sebastián Elcano/ Arganzuela ,345.000 €,91 m²,2ª Planta,2 baños,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor-amueblado-internet/165305819/d?from=list
Piso de 55 m² con 1 baño en Calle de las Muelas del Pan/ San Blas ,101.000 €,55 m²,Sin información,1 baño,2 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/arcos/165471740/d?from=list
Sin título,Sin información,Sin información,Sin información,Sin información,Sin información,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.eshttps://ad.doubleclick.net/ddm/trackclk/N1086710.3511184DAN_ES_SCHIBSTED/B23729774.348220409;dc_trk_aid=539949229;dc_trk_cid=116933525;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=;ltd=
Piso de 104 m² con terraza en Calle de Andrés Mellado/ Chamberí ,750.000 €,104 m²,1ª Planta,2 baños,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-zona-comunitaria-ascensor/165577300/d?from=list
Piso de 176 m² con terraza en Barrio de Salamanca ,1.390.000 €,176 m²,2ª Planta,3 baños,3 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero-ascensor-amueblado/165429872/d?from=list
Piso de 58 m² con ascensor en Centro ,298.000 €,58 m²,Sin información,1 baño,2 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/164952322/d?from=list
Apartamento de 35 m² con 1 baño en Calle del Cardenal Cisneros/ Chamberí ,180.000 €,35 m²,1ª Planta,1 baño,1 hab.,Calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-amueblado/165111125/d?from=list
Piso de 184 m² con ascensor en Barrio de Salamanca ,1.490.000 €,184 m²,4ª Planta,3 baños,4 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor/164203706/d?from=list
Piso de 135 m² con terraza en Calle Luis Marín/ Puente de Vallecas ,199.000 €,135 m²,9ª Planta,2 baños,4 habs.,Sin calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-ascensor/165324345/d?from=list
Piso de 65 m² con ascensor en Calle de Pilar de Zaragoza/ Barrio de Salamanca ,335.000 €,65 m²,3ª Planta,1 baño,3 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor/165347240/d?from=list
Piso de 65 m² con aire acondicionado en Calle de Ignacio Santos Viñuelas/ Villaverde ,129.000 €,65 m²,3ª Planta,1 baño,2 habs.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero/165010560/d?from=list
Piso de 114 m² con balcón en Calle Donoso Cortés/ Chamberí ,580.000 €,114 m²,5ª Planta,2 baños,4 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor-patio-internet/162948487/d?from=list
Ático de 143 m² con ascensor en Lagasca/ Barrio de Salamanca ,1.650.000 €,143 m²,6ª Planta,3 baños,2 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-ascensor/163154593/d?from=list
Piso de 138 m² con terraza en Calle de Magallanes/ Chamberí ,795.000 €,138 m²,1ª Planta,2 baños,3 habs.,Sin calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-terraza-ascensor/165339972/d?from=list
Piso de 78 m² con aire acondicionado en Fuencarral - El Pardo ,180.000 €,78 m²,Sin información,2 baños,2 habs.,Calefacción,Aire acondicionado,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion/164751529/d?from=list
Piso en C. del Aviador Zorita 5 / Tetuán ,1.199.000 €,262 m²,1ª Planta,4 baños,6 habs.,Calefacción,Aire acondicionado,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-ascensor/165451239/d?from=list
Piso de 212 m² con ascensor en Retiro ,890.000 €,212 m²,3ª Planta,3 baños,5 habs.,Calefacción,Sin AC,Ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-trastero-ascensor-piscina/165595654/d?from=list
Dúplex de 37 m² con 1 baño en Tetuán ,230.000 €,37 m²,Sin información,1 baño,1 hab.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/berruguete/165278962/d?from=list
